Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
16 País Vasco;De 55 a 64 años;Ambos sexos;2024;331,5
16 País Vasco;65 y más años;Ambos sexos;2024;525,9
17 Rioja, La;Total;Ambos sexos;2024;323,2
17 Rioja, La;Menores de 16;Ambos sexos;2024;46,1
17 Rioja, La;De 16 a 19 años;Ambos sexos;2024;14,3
17 Rioja, La;De 20 a 24 años;Ambos sexos;2024;16,8
17 Rioja, La;De 25 a 34 años;Ambos sexos;2024;32,7
17 Rioja, La;De 35 a 44 años;Ambos sexos;2024;42,3
17 Rioja, La;De 45 a 54 años;Ambos sexos;2024;53,4
17 Rioja, La;De 55 a 64 años;Ambos sexos;2024;46,7
17 Rioja, La;65 y más años;Ambos sexos;2024;70,9
18 Ceuta;Total;Ambos sexos;2024;80,7
18 Ceuta;Menores de 16;Ambos sexos;2024;14,5
18 Ceuta;De 16 a 19 años;Ambos sexos;2024;5,6
18 Ceuta;De 20 a 24 años;Ambos sexos;2024;5,1
18 Ceuta;De 25 a 34 años;Ambos sexos;2024;10,4
18 Ceuta;De 35 a 44 años;Ambos sexos;2024;11,9
18 Ceuta;De 45 a 54 años;Ambos sexos;2024;12,1
18 Ceuta;De 55 a 64 años;Ambos sexos;2024;10,8
18 Ceuta;65 y más años;Ambos sexos;2024;10,2
19 Melilla;Total;Ambos sexos;2024;86,5
19 Melilla;Menores de 16;Ambos sexos;2024;20,2
19 Melilla;De 16 a 19 años;Ambos sexos;2024;4,8
19 Melilla;De 20 a 24 años;Ambos sexos;2024;5,1
19 Melilla;De 25 a 34 años;Ambos sexos;2024;11,4
19 Melilla;De 35 a 44 años;Ambos sexos;2024;11,2
19 Melilla;De 45 a 54 años;Ambos sexos;2024;11,6
19 Melilla;De 55 a 64 años;Ambos sexos;2024;10,6
19 Melilla;65 y más años;Ambos sexos;2024;11,8
